,Sa,Sku,Smean,Sp,Sq,Ssk,Sv,Sz,
 Unit,µm,,µm,µm,µm,,µm,µm,
 Value,13.866,2.9125,0.0000,28.193,17.034,0.8920,48.964,77.157,
